Date,Open,High,Low,Close,Volume,Adj Close
2012-04-12,5634.70,5727.90,5602.60,5710.50,1115209900,5710.50
2012-04-11,5595.50,5655.90,5576.40,5634.70,1132327600,5634.70
2012-04-10,5723.70,5723.70,5595.50,5595.50,1012487000,5595.50
2012-04-05,5703.80,5731.70,5663.30,5723.70,908902000,5723.70
2012-04-04,5838.30,5838.30,5685.60,5703.80,1174203000,5703.80
2012-04-03,5874.90,5890.20,5838.30,5838.30,896434000,5838.30
2012-04-02,5768.50,5874.90,5748.60,5874.90,886248600,5874.90
2012-03-30,5742.00,5782.70,5742.00,5768.50,990970000,5768.50
2012-03-29,5809.00,5812.20,5726.50,5742.00,1084172000,5742.00
2012-03-28,5869.50,5877.90,5809.00,5809.00,931820200,5809.00
2012-03-27,5902.70,5941.90,5863.80,5869.50,1257297300,5869.50
2012-03-26,5854.90,5913.10,5854.50,5902.70,722858600,5902.70
2012-03-23,5845.60,5875.70,5801.70,5854.90,848516800,5854.90
2012-03-22,5892.00,5892.00,5825.90,5845.60,883155600,5845.60
2012-03-21,5891.40,5921.70,5880.80,5892.00,907211200,5892.00
2012-03-20,5961.10,5961.10,5876.40,5891.40,978545200,5891.40
2012-03-19,5965.60,5968.90,5928.50,5961.10,951265200,5961.10
2012-03-16,5940.70,5974.00,5940.70,5965.60,1834534000,5965.60
2012-03-15,5945.40,5958.20,5919.20,5940.70,1039944300,5940.70
2012-03-14,5955.90,5989.10,5945.40,5945.40,1165017900,5945.40
2012-03-13,5892.80,5957.90,5892.80,5955.90,761933800,5955.90
2012-03-12,5887.50,5894.10,5860.40,5892.80,800992000,5892.80
2012-03-09,5859.70,5897.60,5842.90,5887.50,854778800,5887.50
2012-03-08,5791.40,5874.30,5791.40,5859.70,828107600,5859.70
2012-03-07,5765.80,5801.10,5755.70,5791.40,859928000,5791.40
2012-03-06,5874.80,5874.80,5758.40,5765.80,994358800,5765.80
2012-03-05,5911.10,5911.10,5865.40,5874.80,873447200,5874.80
2012-03-02,5931.30,5940.00,5908.50,5911.10,758193600,5911.10
2012-03-01,5871.50,5936.10,5858.90,5931.30,900749800,5931.30
2012-02-29,5927.90,5944.80,5871.50,5871.50,1201160900,5871.50
2012-02-28,5915.50,5937.00,5900.00,5927.90,804670200,5927.90
2012-02-27,5935.10,5935.10,5865.90,5915.50,972274400,5915.50
2012-02-24,5937.90,5964.00,5925.50,5935.10,1011161700,5935.10
2012-02-23,5916.50,5952.50,5900.50,5937.90,1071356800,5937.90
2012-02-22,5928.20,5938.00,5894.60,5916.50,875208000,5916.50
2012-02-21,5945.30,5948.80,5916.60,5928.20,846269200,5928.20
2012-02-20,5905.10,5956.30,5905.10,5945.30,724579800,5945.30
2012-02-17,5885.40,5923.60,5885.40,5905.10,1101910900,5905.10
2012-02-16,5892.20,5892.40,5829.40,5885.40,751580400,5885.40
2012-02-15,5899.90,5923.80,5880.60,5892.20,801550000,5892.20
2012-02-14,5905.70,5920.60,5877.20,5899.90,832567200,5899.90
2012-02-13,5852.40,5920.10,5852.40,5905.70,643543000,5905.70
2012-02-10,5895.50,5895.50,5839.90,5852.40,948790200,5852.40
2012-02-09,5875.90,5916.30,5870.50,5895.50,973462200,5895.50
2012-02-08,5890.30,5916.20,5871.30,5875.90,809267800,5875.90
2012-02-07,5892.20,5906.60,5850.50,5890.30,785340600,5890.30
2012-02-06,5901.10,5901.10,5863.50,5892.20,828464600,5892.20
2012-02-03,5796.10,5901.10,5784.20,5901.10,1156774100,5901.10
2012-02-02,5790.70,5809.80,5765.70,5796.10,971388400,5796.10
2012-02-01,5681.60,5790.70,5680.70,5790.70,989847000,5790.70
2012-01-31,5671.10,5730.30,5671.10,5681.60,1018319000,5681.60
2012-01-30,5733.50,5733.50,5651.60,5671.10,778100000,5671.10
2012-01-27,5795.20,5795.20,5729.00,5733.50,790045200,5733.50
2012-01-26,5723.00,5806.20,5722.80,5795.20,874328800,5795.20
2012-01-25,5751.90,5777.70,5694.00,5723.00,884691000,5723.00
2012-01-24,5782.60,5782.60,5719.90,5751.90,916504800,5751.90
2012-01-23,5728.50,5789.90,5723.10,5782.60,852459600,5782.60
2012-01-20,5741.10,5749.80,5721.60,5728.50,1315166100,5728.50
2012-01-19,5702.40,5743.90,5693.20,5741.10,1404442300,5741.10
2012-01-18,5694.00,5709.90,5647.90,5702.40,792321000,5702.40
2012-01-17,5657.40,5724.40,5657.40,5694.00,1232187200,5694.00
2012-01-16,5636.60,5662.90,5609.90,5657.40,672823000,5657.40
2012-01-13,5662.40,5709.20,5583.50,5636.60,1318584300,5636.60
2012-01-12,5670.80,5699.60,5640.30,5662.40,1383932300,5662.40
2012-01-11,5696.70,5700.80,5644.80,5670.80,894220800,5670.80
2012-01-10,5612.30,5711.90,5612.30,5696.70,865034400,5696.70
2012-01-09,5649.70,5673.80,5604.60,5612.30,788891400,5612.30
2012-01-06,5624.30,5682.80,5623.40,5649.70,705018000,5649.70
2012-01-05,5668.50,5689.30,5614.40,5624.30,794279400,5624.30
2012-01-04,5699.90,5719.80,5646.40,5668.50,696937800,5668.50
2012-01-03,5572.30,5699.90,5572.30,5699.90,783529200,5699.90
2011-12-30,5566.80,5588.40,5535.20,5572.30,188110800,5572.30
2011-12-29,5507.40,5566.80,5496.90,5566.80,326449000,5566.80
2011-12-28,5512.70,5567.90,5491.00,5507.40,449839600,5507.40
2011-12-23,5457.00,5516.60,5457.00,5512.70,204750000,5512.70
2011-12-22,5389.70,5469.00,5389.70,5457.00,617195800,5457.00
2011-12-21,5419.60,5479.20,5371.60,5389.70,803794200,5389.70
2011-12-20,5365.00,5426.30,5328.70,5419.60,779731400,5419.60
2011-12-19,5387.30,5410.10,5343.10,5365.00,632321200,5365.00
2011-12-16,5400.90,5452.60,5387.30,5387.30,1274144100,5387.30
2011-12-15,5366.80,5434.00,5366.80,5400.90,803271600,5400.90
2011-12-14,5490.10,5490.10,5366.80,5366.80,860719600,5366.80
2011-12-13,5427.90,5526.00,5413.70,5490.10,757732000,5490.10
2011-12-12,5529.20,5529.20,5427.90,5427.90,815332200,5427.90
2011-12-09,5483.80,5540.50,5440.90,5529.20,841896600,5529.20
2011-12-08,5546.90,5605.30,5483.80,5483.80,907438000,5483.80
2011-12-07,5568.70,5631.90,5498.00,5546.90,932154800,5546.90
2011-12-06,5568.00,5593.00,5521.90,5568.70,857312600,5568.70
2011-12-05,5552.30,5602.80,5545.90,5568.00,900658000,5568.00
2011-12-02,5489.30,5595.50,5489.10,5552.30,984099600,5552.30
2011-12-01,5505.40,5553.90,5486.90,5489.30,939174800,5489.30
2011-11-30,5337.00,5539.00,5275.00,5505.40,1647245400,5505.40
2011-11-29,5312.80,5344.20,5272.40,5337.00,798981400,5337.00
2011-11-28,5164.60,5327.80,5164.60,5312.80,899087000,5312.80
2011-11-25,5127.60,5200.30,5075.20,5164.60,733865200,5164.60
2011-11-24,5139.80,5184.30,5099.00,5127.60,856602400,5127.60
2011-11-23,5206.80,5206.80,5139.80,5139.80,1009697900,5139.80
2011-11-22,5222.60,5282.00,5206.80,5206.80,915478600,5206.80
2011-11-21,5362.90,5362.90,5221.70,5222.60,955270000,5222.60
2011-11-18,5423.10,5423.10,5347.90,5362.90,826014000,5362.90
2011-11-17,5509.00,5509.00,5366.10,5423.10,1059574600,5423.10
2011-11-16,5517.40,5562.90,5450.20,5509.00,941320000,5509.00
2011-11-15,5519.00,5551.40,5428.60,5517.40,842112000,5517.40
2011-11-14,5545.40,5575.20,5489.30,5519.00,687675200,5519.00
2011-11-11,5444.80,5548.80,5439.80,5545.40,721167400,5545.40
2011-11-10,5460.40,5497.20,5360.20,5444.80,799967600,5444.80
2011-11-09,5567.30,5615.80,5426.30,5460.40,1074608400,5460.40
2011-11-08,5510.80,5616.00,5509.60,5567.30,885001600,5567.30
2011-11-07,5527.20,5557.80,5432.20,5510.80,730611200,5510.80
2011-11-04,5545.60,5599.50,5495.40,5527.20,873169200,5527.20
2011-11-03,5484.10,5564.50,5402.60,5545.60,1232998000,5545.60
2011-11-02,5421.60,5493.30,5383.40,5484.10,1363052700,5484.10
2011-11-01,5544.20,5544.20,5338.40,5421.60,1335198700,5421.60
2011-10-31,5702.20,5702.20,5544.20,5544.20,1079784200,5544.20
2011-10-28,5713.80,5746.90,5685.00,5702.20,997550600,5702.20
2011-10-27,5553.20,5747.30,5553.20,5713.80,1454233000,5713.80
2011-10-26,5525.50,5576.60,5498.50,5553.20,708484200,5553.20
2011-10-25,5548.10,5574.10,5465.50,5525.50,777723200,5525.50
2011-10-24,5488.60,5552.80,5487.20,5548.10,677901200,5548.10
2011-10-21,5384.70,5500.50,5384.70,5488.60,730196000,5488.60
2011-10-20,5450.50,5450.50,5363.20,5384.70,797352400,5384.70
2011-10-19,5410.40,5483.80,5410.40,5450.50,723007400,5450.50
2011-10-18,5436.70,5436.70,5348.60,5410.40,754537000,5410.40
2011-10-17,5466.40,5543.70,5405.20,5436.70,720599600,5436.70
2011-10-14,5403.40,5501.40,5395.60,5466.40,674572200,5466.40
2011-10-13,5441.80,5456.10,5368.40,5403.40,912369000,5403.40
2011-10-12,5395.70,5458.00,5348.20,5441.80,833336600,5441.80
2011-10-11,5399.00,5399.00,5330.40,5395.70,637285400,5395.70
2011-10-10,5303.40,5413.40,5303.40,5399.00,613629200,5399.00
2011-10-07,5291.30,5370.90,5261.40,5303.40,864877000,5303.40
2011-10-06,5102.20,5291.30,5102.20,5291.30,1147794300,5291.30
2011-10-05,4944.40,5121.40,4944.40,5102.20,932393600,5102.20
2011-10-04,5075.50,5075.50,4868.60,4944.40,1168273000,4944.40
2011-10-03,5128.50,5128.50,4983.30,5075.50,774952000,5075.50
2011-09-30,5196.80,5197.30,5068.60,5128.50,889500800,5128.50
2011-09-29,5217.60,5250.20,5160.80,5196.80,736900000,5196.80
2011-09-28,5294.00,5314.30,5191.40,5217.60,726670200,5217.60
2011-09-27,5089.40,5294.00,5089.40,5294.00,960705800,5294.00
2011-09-26,5066.80,5148.80,4974.00,5089.40,1042813300,5089.40
2011-09-23,5041.60,5105.40,4928.10,5066.80,1013630300,5066.80
2011-09-22,5288.40,5288.40,5013.50,5041.60,1191994700,5041.60
2011-09-21,5363.70,5366.10,5268.80,5288.40,772251800,5288.40
2011-09-20,5259.60,5377.40,5219.10,5363.70,708695000,5363.70
2011-09-19,5368.40,5368.40,5231.60,5259.60,721392600,5259.60
2011-09-16,5337.50,5406.10,5337.50,5368.40,1464013600,5368.40
2011-09-15,5227.00,5366.70,5227.00,5337.50,1124039900,5337.50
2011-09-14,5174.30,5270.40,5146.40,5227.00,1116939900,5227.00
2011-09-13,5129.60,5203.10,5069.50,5174.30,887217000,5174.30
2011-09-12,5214.60,5214.60,5059.20,5129.60,1009065200,5129.60
2011-09-09,5340.40,5352.00,5202.20,5214.60,1048625900,5214.60
2011-09-08,5318.60,5369.80,5269.70,5340.40,922652000,5340.40
2011-09-07,5156.80,5322.20,5156.80,5318.60,837910400,5318.60
2011-09-06,5102.60,5190.30,5086.80,5156.80,946129800,5156.80
2011-09-05,5292.00,5292.00,5097.70,5102.60,789914600,5102.60
2011-09-02,5418.60,5418.60,5258.50,5292.00,824122400,5292.00
2011-09-01,5394.50,5449.70,5346.70,5418.60,978886200,5418.60
2011-08-31,5268.70,5411.60,5258.60,5394.50,1178142400,5394.50
2011-08-30,5129.90,5283.60,5129.90,5268.70,910283000,5268.70
2011-08-26,5131.10,5149.50,5014.80,5129.90,1037445300,5129.90
2011-08-25,5205.90,5254.20,5102.10,5131.10,1128589200,5131.10
2011-08-24,5129.40,5250.60,5098.10,5205.90,909123400,5205.90
2011-08-23,5095.30,5193.20,5076.70,5129.40,904652200,5129.40
2011-08-22,5040.80,5183.00,4993.30,5095.30,857260000,5095.30
2011-08-19,5092.20,5107.90,4929.50,5040.80,1547151900,5040.80
2011-08-18,5331.60,5331.60,5041.60,5092.20,1185417000,5092.20
2011-08-17,5357.60,5371.10,5279.90,5331.60,679948200,5331.60
2011-08-16,5350.60,5362.10,5265.80,5357.60,725087400,5357.60
2011-08-15,5320.00,5377.20,5319.40,5350.60,695636400,5350.60
2011-08-12,5162.80,5320.00,5099.30,5320.00,1024505100,5320.00
2011-08-11,5007.20,5172.70,4943.00,5162.80,1455126300,5162.80
2011-08-10,5164.90,5262.70,4990.80,5007.20,1649746200,5007.20
2011-08-09,5069.00,5175.60,4791.00,5164.90,2039085000,5164.90
2011-08-08,5247.00,5295.80,5062.40,5069.00,1576389500,5069.00
2011-08-05,5393.10,5393.10,5202.60,5247.00,2046569200,5247.00
2011-08-04,5584.50,5644.00,5393.10,5393.10,1428457000,5393.10
2011-08-03,5718.40,5718.40,5557.70,5584.50,1094346700,5584.50
2011-08-02,5774.40,5778.90,5705.30,5718.40,995746800,5718.40
2011-08-01,5815.20,5913.50,5767.10,5774.40,866071000,5774.40
2011-07-29,5873.20,5873.20,5772.40,5815.20,1015003300,5815.20
2011-07-28,5856.60,5882.60,5801.60,5873.20,753571000,5873.20
2011-07-27,5929.70,5932.00,5841.00,5856.60,777353400,5856.60
2011-07-26,5925.30,5951.30,5895.60,5929.70,631694600,5929.70
2011-07-25,5935.00,5938.50,5892.60,5925.30,645911000,5925.30
2011-07-22,5899.90,5966.80,5899.90,5935.00,874525200,5935.00
2011-07-21,5853.80,5934.30,5797.50,5899.90,1051054100,5899.90
2011-07-20,5790.00,5856.40,5790.00,5853.80,900376400,5853.80
2011-07-19,5752.80,5802.00,5752.80,5790.00,912096000,5790.00
2011-07-18,5843.70,5843.70,5752.80,5752.80,848623000,5752.80
2011-07-15,5847.00,5863.60,5806.00,5843.70,693411600,5843.70
2011-07-14,5906.40,5906.40,5841.20,5847.00,715968200,5847.00
2011-07-13,5869.00,5911.00,5851.00,5906.40,830813000,5906.40
2011-07-12,5929.20,5929.20,5793.00,5869.00,1086509600,5869.00
2011-07-11,5990.60,5998.60,5900.80,5929.20,854847000,5929.20
2011-07-08,6054.50,6084.10,5981.70,5990.60,781326400,5990.60
2011-07-07,6002.90,6071.70,6002.90,6054.50,834549600,6054.50
2011-07-06,6024.00,6026.50,5973.80,6002.90,817116200,6002.90
2011-07-05,6017.50,6036.30,6011.10,6024.00,656222400,6024.00
2011-07-04,5989.80,6030.80,5985.70,6017.50,469993600,6017.50
2011-07-01,5945.70,5999.00,5937.00,5989.80,871319600,5989.80
2011-06-30,5856.00,5945.70,5856.00,5945.70,1221084400,5945.70
2011-06-29,5766.90,5860.90,5766.90,5856.00,908814800,5856.00
2011-06-28,5722.30,5795.10,5722.30,5766.90,810367200,5766.90
2011-06-27,5697.70,5728.40,5679.60,5722.30,836747000,5722.30
2011-06-24,5674.40,5768.50,5674.40,5697.70,1037392500,5697.70
2011-06-23,5773.00,5773.00,5663.30,5674.40,893970600,5674.40
2011-06-22,5775.30,5789.10,5741.80,5773.00,756880600,5773.00
2011-06-21,5693.40,5778.10,5693.00,5775.30,745714800,5775.30
2011-06-20,5714.90,5714.90,5647.20,5693.40,746606400,5693.40
2011-06-17,5698.80,5733.20,5645.00,5714.90,1215422700,5714.90
2011-06-16,5742.50,5742.50,5644.40,5698.80,1040114400,5698.80
2011-06-15,5803.10,5803.40,5742.50,5742.50,807145200,5742.50
2011-06-14,5773.50,5822.60,5773.50,5803.10,811563000,5803.10
2011-06-13,5765.80,5793.80,5763.40,5773.50,643227200,5773.50
2011-06-10,5856.30,5867.00,5758.30,5765.80,786839200,5765.80
2011-06-09,5808.90,5861.20,5795.00,5856.30,854850800,5856.30
2011-06-08,5864.60,5864.60,5791.80,5808.90,848385000,5808.90
2011-06-07,5863.20,5890.60,5849.20,5864.60,792266800,5864.60
2011-06-06,5855.00,5881.10,5827.50,5863.20,650699800,5863.20
2011-06-03,5847.90,5868.20,5802.70,5855.00,840519800,5855.00
2011-06-02,5928.60,5928.60,5847.90,5847.90,980195200,5847.90
2011-06-01,5990.00,5995.20,5911.70,5928.60,832047200,5928.60
2011-05-31,5938.90,6010.00,5938.90,5990.00,967043400,5990.00
2011-05-27,5881.00,5951.40,5881.00,5938.90,799337800,5938.90
2011-05-26,5870.10,5910.80,5866.70,5881.00,868336800,5881.00
2011-05-25,5858.40,5881.20,5810.50,5870.10,916829200,5870.10
2011-05-24,5835.90,5884.70,5835.90,5858.40,985312200,5858.40
2011-05-23,5948.50,5948.50,5833.40,5835.90,853749200,5835.90
2011-05-20,5956.00,6017.60,5927.70,5948.50,897899600,5948.50
2011-05-19,5923.50,6003.90,5923.50,5956.00,849895800,5956.00
2011-05-18,5861.00,5934.50,5860.60,5923.50,702325400,5923.50
2011-05-17,5923.70,5942.80,5861.00,5861.00,756848800,5861.00
2011-05-16,5925.90,5936.20,5862.20,5923.70,686694200,5923.70
2011-05-13,5945.00,6001.30,5919.90,5925.90,705255000,5925.90
2011-05-12,5976.00,5976.40,5882.40,5945.00,868796400,5945.00
